,id,text,Cleaned_tweet
71,0.5655083966242913-74,One man will steal the show ? #RCBvDD #IPL2016,one man wil steal the show 
72,0.5655083966242913-75,Are there any feilders out there..? #RCBvsDD #IPL2016,are there any feilders out there 
73,0.5655083966242913-76,Just to add.. the report said poor eye sight as well. #RCBvDD #IPL2016,just to add the report said poor eye sight as well 
74,0.5655083966242913-77,Just now the dug out got the report.. He's got piles. #RCBvDD #IPL2016,just now the dug out got the report he got piles 
75,0.5655083966242913-78,"You can't keep dance, music out of life n #chaampyaan out of match #bravo #MIvGL #IPL2016",you can t keep dance music out of life n out of match
76,0.5655083966242913-79,Losing at home is in fashion ? #MIvGL #IPL2016,losing at home is in fashion 
77,0.5655083966242913-80,#MohitSharma on hitting six.. to teammates...Ab ye karke dikhao. #DDvKXIP #IPL2016,on hitting six to teammates ab ye karke dikhao 
78,0.5655083966242913-81,I guess today we will see the lowest score of #IPL2016 #DDvKXIP,i gues today we wil se the lowest score of
79,0.5655083966242913-82,#MurliVijay runout bloopers can make him next #Inzi #Misbah #DDvKXIP #IPL2016,runout bloopers can make him next
80,0.5655083966242913-83,Fresh blood..on field #DDvKXIP Great fielding n bowling :),fresh blood on field great fielding n bowling 
81,0.5655083966242913-84,Pls hitting mode on..#GLvRPS #IPL9 #IPL2016,pls hitting mode on 
82,0.5655083966242913-85,CSK 1 v/s CSK 2.. Who will have the upper hand ?? #GLvRPS #IPL2016 #VIVOIPL,csk v s csk who wil have the upper hand 
83,0.5655083966242913-86,How to disable missed call alert from @Truecaller ?? I only want system notification. @AndroidDev,how to disable missed cal alert from i only want system notification 
84,0.5655083966242913-87,@thetanmay If it happens it will give fight to naagin dance and tharki uncle dance..,if it happens it wil give fight to naagin dance and tharki uncle dance 
85,0.5655083966242913-88,Now pay the #Lagaan ? #ENGvWI #WT20Final,now pay the 
86,0.5655083966242913-89,@imVkohli player of the series... Cherry on top. #WT20Final,player of the series cherry on top 
87,0.5655083966242913-90,@benstokes38 shocked..@TridentSportsX rocked.. #WT20Final #ICCWT20 #ENGvWI,shocked rocked 
88,0.5655083966242913-91,After #ind I wanted @westindies to win .#champyaan.. #ENGvWI #WT20Final,after i wanted to win 
89,0.5655083966242913-92,Breathtaking... @TridentSportsX #ENGvWI #WT20Final #ICCWT20,breathtaking 
90,0.5655083966242913-93,I told ya..@westindies is not only about @henrygayle #ENGvWI #WT20Final,i told ya is not only about
91,0.5655083966242913-94,Are #windowsphone the next @nokia or @BlackBerry #Build2016,are the next or
92,0.5655083966242913-95,So @westindies is not only about @henrygayle #IndvsWI #WT20 #ICCWT20,so is not only about
93,0.5655083966242913-96,Pls keep the white line back to its original place.. #IndvsWI,pls keep the white line back to its original place 
94,0.5655083966242913-97,Why not..@imVkohli #IndvsWI,why not 
95,0.5655083966242913-98,Oh no..No ball..#IndvsWI,oh no no ball 
96,0.5655083966242913-99,#Bumrah.. Second innings is yours. #IndvsWI #wt20,second innings is yours 
97,0.5655083966242913-100,#Bumrah Go on boy... #IndvsWI,go on boy 
98,0.5655083966242913-101,Someone pinch me....really hard.. #IndvsWI #WT20 #ICCWT20,someone pinch me really hard 
99,0.5655083966242913-102,"Did @imVkohli @ajinkyarahane88 @msdhoni came to @SAP ?? 
Run Simple #IndvsWI #ICCWT20 #WT20",did came to run simple
100,0.5655083966242913-103,Cardio at max..@imVkohli and @msdhoni #IndvsWI #WT20 #ICCWT20,cardio at max and
101,0.5655083966242913-104,@vasudevg you got 1... @imVkohli #IndvsWI,you got 
102,0.5655083966242913-105,Why @DJBravo47 Why.... #IndvsWI,why why 
103,0.5655083966242913-106,@weemundo At home..,at home 
104,0.5655083966242913-107,@weemundo Lolz !!,lolz 
105,0.5655083966242913-108,Meanwhile #fogg changed the add tag..  Bhai kya chal rha hai.. @imVkohli aur @ajinkyarahane88 ki running.. #IndvsWI #ICCWT20 #WT20,meanwhile changed the ad tag bhai kya chal rha hai aur ki running 
106,0.5655083966242913-109,Narbasaao nahi mooraa…@imVkohli #IndvsWI #ICCWT20,narbasaao nahi moora
107,0.5655083966242913-110,No adrenaline rush..#IndvsWI #ICCWT20 @imVkohli,no adrenaline rush 
108,0.5655083966242913-111,"FBI breaks into San Bernardino gunman's iPhone without Apple's help, ending court case  http://fxn.ws/1UytNOF  #AppleVsFBI #hacked",fbi breaks into san bernardino gunman iphone without apple help ending court case
109,0.5655083966242913-112,Rumour has it.. @google #googlegoggles #googleglass,rumour has it 
