,id,text,Cleaned_tweet
165,0.5005587103772278-168,@Gurmeetramrahim #MSGFilmDVDLaunched thanks piti ab to wait hi nhi ho rha tha thanks for this gift papa g love u pa from both of us...,thanks piti ab to wait hi nhi ho rha tha thanks for this gift papa g love u pa from both of us 
166,0.5005587103772278-169,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay  congratulations to u pa. thanks for your guidance. ese hi rehmt krte rehna g,congratulations to u pa thanks for your guidance ese hi rehmt krte rehna g
167,0.5005587103772278-170,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay  waoooo osmmmmmmmm...,wao osmm 
168,0.5005587103772278-171,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay  supurbbbbbbb.....,supurbb 
169,0.5005587103772278-172,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay waoooooooooo papa g ... grand salute to u .....its only because of u ...,wao papa g grand salute to u its only because of u 
170,0.5005587103772278-173,@Gurmeetramrahim #MSGHappyFathersDay love u pa.....,love u pa 
171,0.5005587103772278-174,@Gurmeetramrahim #MSGHappyFathersDay  g papa g thanks a lot g n happy world yoga day...,g papa g thanks a lot g n happy world yoga day 
172,0.5005587103772278-175,@Gurmeetramrahim #MSGHappyFathersDay  thanks papa g n happy fathers day love u pa...,thanks papa g n happy fathers day love u pa 
173,0.5005587103772278-176,@Gurmeetramrahim #MSGTrueBloodPump its only due to u  papa g.....,its only due to u papa g 
174,0.5005587103772278-177,@Gurmeetramrahim #MSGTrueBloodPump thanks papa g...n love u sooooooo much papa g .....,thanks papa g n love u so much papa g 
175,0.5005587103772278-178,@Gurmeetramrahim #MSGDoing111WelfareWorks  piti u r looking ooooooooooooooosssssssssssmmmmmmmmmm love u pa ...,piti u r looking oossm love u pa 
176,0.5005587103772278-179,@Gurmeetramrahim #MSGDoing111WelfareWorks  dhan dhan satguru tera hi aasra g...n gud night pa.....,dhan dhan satguru tera hi aasra g n gud night pa 
177,0.5005587103772278-180,@Gurmeetramrahim #MSGDoing111WelfareWorks  g papa g thanks pa.....,g papa g thanks pa 
178,0.5005587103772278-181,@Gurmeetramrahim #MSGDoing111WelfareWorks  g papa g...its only because of u pa ...,g papa g its only because of u pa 
179,0.5005587103772278-182,@Gurmeetramrahim #MSGDoing111WelfareWorks  waoooooooooooo gr8 papa g ...grand solute to u papa g.....,wao gr papa g grand solute to u papa g 
180,0.5005587103772278-183,@Gurmeetramrahim #MSG100DaysInTheater  g papa g thanks a lot g love u pa...,g papa g thanks a lot g love u pa 
181,0.5005587103772278-184,@Gurmeetramrahim #MSG100DaysInThreatre  g papa g ...n thanks papa g.....  :) :),g papa g n thanks papa g 
182,0.5005587103772278-185,@Gurmeetramrahim #MSG100Daysintheater waoooooooooooo love u pa.....thanks a lot g.....,wao love u pa thanks a lot g 
183,0.5005587103772278-186,@Gurmeetramrahim #MSG100DaysInTheater  g papa g aapko bhi bahut - bahut mubarkein g  n thanks a lot papa g love u pa from both of us.....,g papa g aapko bhi bahut bahut mubarkein g n thanks a lot papa g love u pa from both of us 
184,0.5005587103772278-187,@Gurmeetramrahim #MSGDonated4Million  waooooooooooooo grtttttttttttttt papa ...love u pa .,wao grt papa love u pa 
185,0.5005587103772278-188,@Gurmeetramrahim #MSGDonated4Million  thanks papa g  love u so much g aap rehmt bhra aashirwad bnaye rkhna g n plz piti himmt do g...,thanks papa g love u so much g aap rehmt bhra aashirwad bnaye rkhna g n plz piti himmt do g 
186,0.5005587103772278-189,@Gurmeetramrahim #MSGDonated4Million  g papa g.. n thanks a lot g.....,g papa g n thanks a lot g 
187,0.5005587103772278-190,@Gurmeetramrahim #MSGDonated4Million  waooooooooooo piti looking oooooooossssssssmmmmmmnn love u pa..... :) :),wao piti looking oossmmn love u pa 
188,0.5005587103772278-191,@Gurmeetramrahim #MSGHelpEarthquakeVictims  thanks papa g...love u g n gud night pa sewa simran n prmarth ka BL bkshna g.....,thanks papa g love u g n gud night pa sewa simran n prmarth ka bl bkshna g 
189,0.5005587103772278-192,@Gurmeetramrahim waooooooooo greattttttttt papa g grand solute to u papa g...love u pa  .....  :) :),wao great papa g grand solute to u papa g love u pa 
