id,text
0.5477838252581613-73,I congratul8 the Common Man @ArvindKejriwal to d core of my heart. Its nt Majority its BRoom Tsunami #DelhiDecides #AAPSweep @AamAadmiParty
0.5477838252581613-74,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @AamAadmiParty #DelhiDecides @ArvindKejriwal #AAPSweep Its not Majority its BRoom Tsunami
0.5477838252581613-75,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @AamAadmiParty #DelhiDecides @ArvindKejriwal Dnt undrestim8 the pwr of c'mon man. NEVER #AAPSweep
0.5477838252581613-76,IF GLASS OF WATER WOULD HAVE BEEN THE ELECTION SYMBOL FOR ( Kiren Bedi ) @thekiranbedi wud hav won :P @drkumarvishwas
0.5477838252581613-77,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep  @AamAadmiParty #DelhiDecides @ArvindKejriwal Tough @thekiranbedi its time to deliver lectures :P
0.5477838252581613-78,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep  @AamAadmiParty #DelhiDecides @ArvindKejriwal Tough @thekiranbedi has been defeated by a com'm man
0.5477838252581613-79,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep  @AamAadmiParty #DelhiDecides @ArvindKejriwal Imagine unknown Bagga defeated @thekiranbedi
0.5477838252581613-80,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep  @AamAadmiParty #DelhiDecides @ArvindKejriwal BJP and Congress Mukt Delhi. Weldone Delhites :)
0.5477838252581613-81,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep  @AamAadmiParty #DelhiDecides @ArvindKejriwal Ab Delhi Badlegi. Shocked to see result omg
0.5477838252581613-82,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @AamAadmiParty #DelhiDecides @ArvindKejriwal Waiting for Oath Ceremony at Ramleela Maidan Hurrey
0.5477838252581613-83,#AAPkaCM #AAPkiJeet #AAPSweep  @AamAadmiParty #DelhiDecides @ArvindKejriwal Its nt majority its tsumani majority @ndtv @DrKumarVishwas
0.5477838252581613-84,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @DrKumarVishwas #DelhiDecides @ArvindKejriwal once went 2 mit @narendramodi 2day he invited 4 tea
