id,text
0.5005587103772278-151,@Gurmeetramrahim #OurDaughtersOurPride waooooooo thanks a lot papa g...love u pa
0.5005587103772278-152,@Gurmeetramrahim #SelfieWithMSG  waoooooooooo piti looking osm.....
0.5005587103772278-153,@Gurmeetramrahim #MSGPrayToGod papa g plz bless him.....
0.5005587103772278-154,@Gurmeetramrahim #MSGDoing111WelfareWorks g papa g its only becoze of ur guidance ...grand salute to u papa g.....
0.5005587103772278-155,@Gurmeetramrahim #MSGSalutes  salute to them papa g.....
0.5005587103772278-156,@Gurmeetramrahim #OurDaughtersOurPride  thanks papa g himt dena g.....
0.5005587103772278-157,@Gurmeetramrahim #OurDaughtersOurPride hats off to u papa coach
0.5005587103772278-158,@Gurmeetramrahim #OurDaughtersOurPride  papa g aapki blessings se hi ye bache world champion hain g
0.5005587103772278-159,@Gurmeetramrahim #MSGRubruNight  wht a crowd greatttttt papa g
0.5005587103772278-160,"@Gurmeetramrahim #MSGRubruNight  wht a smile pa looking amazing  papa g...
."
0.5005587103772278-161,@Gurmeetramrahim #MSGLovesSewadars  waoooooooo piti superbbbbbb  u r looking osm piti n ur love with sewadars greattttttt ...
0.5005587103772278-162,@Gurmeetramrahim #MSGEidMubarak  thanks a lot g...
0.5005587103772278-163,@Gurmeetramrahim #MSGEidMubarak  thanks papa g n same to u g.....
0.5005587103772278-164,@Gurmeetramrahim #OurYouthOurStrength  all becoz of ur guidance piti grand salute to u.....
0.5005587103772278-165,@Gurmeetramrahim #MSGTreePlantationDrive gud night pa
0.5005587103772278-166,@Gurmeetramrahim #MSGHappyDoctorsDay  Happy Doctors day papa g.....
0.5005587103772278-167,@Gurmeetramrahim #MSGFilmDVDLaunched  thanks papa g.....
0.5005587103772278-168,@Gurmeetramrahim #MSGFilmDVDLaunched thanks piti ab to wait hi nhi ho rha tha thanks for this gift papa g love u pa from both of us...
0.5005587103772278-169,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay  congratulations to u pa. thanks for your guidance. ese hi rehmt krte rehna g
0.5005587103772278-170,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay  waoooo osmmmmmmmm...
0.5005587103772278-171,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay  supurbbbbbbb.....
0.5005587103772278-172,@Gurmeetramrahim #MSGInternationalYogaDay  #MSGHappyFathersDay waoooooooooo papa g ... grand salute to u .....its only because of u ...
0.5005587103772278-173,@Gurmeetramrahim #MSGHappyFathersDay love u pa.....
0.5005587103772278-174,@Gurmeetramrahim #MSGHappyFathersDay  g papa g thanks a lot g n happy world yoga day...
0.5005587103772278-175,@Gurmeetramrahim #MSGHappyFathersDay  thanks papa g n happy fathers day love u pa...
0.5005587103772278-176,@Gurmeetramrahim #MSGTrueBloodPump its only due to u  papa g.....
0.5005587103772278-177,@Gurmeetramrahim #MSGTrueBloodPump thanks papa g...n love u sooooooo much papa g .....
0.5005587103772278-178,@Gurmeetramrahim #MSGDoing111WelfareWorks  piti u r looking ooooooooooooooosssssssssssmmmmmmmmmm love u pa ...
0.5005587103772278-179,@Gurmeetramrahim #MSGDoing111WelfareWorks  dhan dhan satguru tera hi aasra g...n gud night pa.....
0.5005587103772278-180,@Gurmeetramrahim #MSGDoing111WelfareWorks  g papa g thanks pa.....
