id,text
0.712703462923385-167,"ZTE nubia Z11 miniS with 5.2-inch 1080p display, Snapdragon 625, 4GB RAM, 23MP camera announced..."
0.712703462923385-168,Samsung India offering freebies with Galaxy S7/S7 edge purchases for Galaxy Note7 pre-book customers...
0.712703462923385-169,Sony to launch at least five Playstation games for Android and iOS by 2018...
0.712703462923385-170,"5 Inch HD Screen, Android 6.0 & 4G Is The Key Features Of New Launched Smartphone Intex Aqua Craze II..."
0.712703462923385-171,Samsung starts mass production of SoC based on 10nm FinFET technology...
0.712703462923385-172,Vodafone India creates new Guinness World Record with largest paper recharge voucher...
0.712703462923385-173,Samsung India to offer full refunds for imported Galaxy Note7 units...
0.712703462923385-174,Nokia and Airtel to expand 4G deployment in three new circles...
0.712703462923385-175,"Qualcomm Snapdragon 653, 626 and 427 SoCs with X9 LTE modem, Quick Charge 3.0 support announced..."
0.712703462923385-176,Qualcomm announces first gigabit class LTE mobile device and network...
0.712703462923385-177,Google Flights will now notify you the best time to book cheap flights and hotels...
0.712703462923385-178,Misfit Phase hybrid smartwatch with activity tracking announced starting $175...
0.712703462923385-179,"New Apple MacBook Pro, MacBook Air expected to be announced on October 27..."
0.712703462923385-180,UIMI U3 6000mAh waterproof power bank with Solar charging launched for Rs. 799...
0.712703462923385-181,MyAirtel App for Android and iPhone updated with ‘Airtel Apps’ section...
0.712703462923385-182,Google Pixel and Pixel XL up for pre-order on Flipkart in India starting at Rs. 57000...
0.712703462923385-183,MediaTek MT2511 multi-function bio-sensing chip and MT2523 for fitness devices announced in India...
0.712703462923385-184,Amazon Music Unlimited on demand streaming service announced starting $4 per month...
0.712703462923385-185,Samsung offers up to $100 credit to exchange Galaxy Note7 for another Galaxy device...
0.712703462923385-186,"SwiftKey 6.4.5 beta for Android brings incognito mode, text expansion support and more..."
0.712703462923385-187,Apple reportedly in talks to acquire Sonder for dynamic E Ink keyboard tech...
0.712703462923385-188,"Xiaomi Mi Music Alarm Clock is also a Bluetooth speaker, has LEDs to show time..."
0.712703462923385-189,Samsung India offering freebies with Galaxy S7/S7 edge purchases for Galaxy Note7 pre-book customers...
0.712703462923385-190,Sony to launch at least five Playstation games for Android and iOS by 2018...
0.712703462923385-191,"5 Inch HD Screen, Android 6.0 & 4G Is The Key Features Of New Launched Smartphone Intex Aqua Craze II..."
0.712703462923385-192,Samsung starts mass production of SoC based on 10nm FinFET technology...
0.712703462923385-193,Vodafone India creates new Guinness World Record with largest paper recharge voucher...
0.712703462923385-194,Samsung India to offer full refunds for imported Galaxy Note7 units...
0.712703462923385-195,Reliance Jio signs record 16 million new subscribers in 26 days of launch...
0.712703462923385-196,"Samsung Galaxy Note7 production reportedly halted, AT&T, T-Mobile and Verizon stop sales..."
0.712703462923385-197,Xiaomi 10000mAh Mi Power Bank Pro with two-way fast charging launched in India for Rs. 1999...
0.712703462923385-198,"Xiaomi Diwali with Mi sale from October 17 to 19 – Re. 1 flash sale, discounts and more..."
0.712703462923385-199,"Samsung Galaxy S7 and S7 edge update in India brings WiFi calling, better performance and more..."
0.712703462923385-200,Samsung starts mass production of Exynos 7 Dual 7270 14nm processor with built-in LTE for wearables...
0.712703462923385-201,"Samsung stops Galaxy Note7 sales and exchanges, tells users to switch off device..."
0.712703462923385-202,Honor’s secret weapon – The “Make in India” initiative...
0.712703462923385-203,"Android 7.1 Developer Preview with App shortcuts, Image keyboard and more to roll out this month..."
0.712703462923385-204,Uber planning bus and mini-van ride sharing service Uber Everything in India...
0.712703462923385-205,"Dropbox for iOS gets PDF signing, new widget, iMessage integrations and more..."
0.712703462923385-206,LG Innotek introduces 15-watt Quick Wireless Charging Pad for smartphones...
0.712703462923385-207,MyAirtel App for Android and iPhone updated with ‘Airtel Apps’ section...
0.712703462923385-208,Google Pixel and Pixel XL up for pre-order on Flipkart in India starting at Rs. 57000...
0.712703462923385-209,"Amazon Great Indian Festival Sale is coming back, scheduled from October 17 to 20..."
0.712703462923385-210,MediaTek MT2511 multi-function bio-sensing chip and MT2523 for fitness devices announced in India...
0.712703462923385-211,Amazon Music Unlimited on demand streaming service announced starting $4 per month...
0.712703462923385-212,Samsung offers up to $100 credit to exchange Galaxy Note7 for another Galaxy device...
0.712703462923385-213,"Google Photos will now make animations from video, rotate photos and more..."
0.712703462923385-214,"SwiftKey 6.4.5 beta for Android brings incognito mode, text expansion support and more..."
0.712703462923385-215,Apple reportedly in talks to acquire Sonder for dynamic E Ink keyboard tech...
0.712703462923385-216,"Xiaomi Mi Music Alarm Clock is also a Bluetooth speaker, has LEDs to show time..."
0.712703462923385-217,Samsung India offering freebies with Galaxy S7/S7 edge purchases for Galaxy Note7 pre-book customers...
0.712703462923385-218,Sony to launch at least five Playstation games for Android and iOS by 2018...
0.712703462923385-219,"5 Inch HD Screen, Android 6.0 & 4G Is The Key Features Of New Launched Smartphone Intex Aqua Craze II..."
0.712703462923385-220,LG Innotek introduces 15-watt Quick Wireless Charging Pad for smartphones...
0.712703462923385-221,"Samsung Galaxy Note7 production reportedly halted, AT&T, T-Mobile and Verizon stop sales..."
0.712703462923385-222,Xiaomi 10000mAh Mi Power Bank Pro with two-way fast charging launched in India for Rs. 1999...
0.712703462923385-223,"Xiaomi Diwali with Mi sale from October 17 to 19 – Re. 1 flash sale, discounts and more..."
0.712703462923385-224,"Samsung Galaxy S7 and S7 edge update in India brings WiFi calling, better performance and more..."
0.712703462923385-225,Samsung starts mass production of Exynos 7 Dual 7270 14nm processor with built-in LTE for wearables...
0.712703462923385-226,HyperX CloudX Gears of War gaming headset launched in India for Rs. 11999...
0.712703462923385-227,"Android 7.1 Developer Preview with App shortcuts, Image keyboard and more to roll out this month..."
0.712703462923385-228,Uber planning bus and mini-van ride sharing service Uber Everything in India...
0.712703462923385-229,"Dropbox for iOS gets PDF signing, new widget, iMessage integrations and more..."
0.712703462923385-230,Google introduces group plans for Project Fi http://www.techotweet.com/2016/10/google-introduces-group-plans-for.html …
